dialog_id,uttr_id,actor,session,gender,audio_path,transcript,emotion,start_time,end_time
03a01Fa,03a01Fa,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a01Fa.wav,The rag is on the fridge.,happy,0.0,1.89825
03a01Nc,03a01Nc,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a01Nc.wav,The bottle cap is on the fridge.,neutral,0.0,1.61125
03a01Wa,03a01Wa,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a01Wa.wav,The rag is on the fridge!,angry,0.0,1.877812
03a02Fc,03a02Fc,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a02Fc.wav,She wants to give it away on Wednesday!,happy,0.0,2.00625
03a02Nc,03a02Nc,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a02Nc.wav,She wants to give it away on Wednesday.,neutral,0.0,1.4398119999999999
03a02Ta,03a02Ta,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a02Ta.wav,She wants to give it away on Wednesday.,sad,0.0,1.735687
03a02Wb,03a02Wb,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a02Wb.wav,She wants to give it away on Wednesday!,angry,0.0,2.123625
03a02Wc,03a02Wc,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a02Wc.wav,She wants to give it away on Wednesday!,angry,0.0,1.498062
03a04Ad,03a04Ad,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a04Ad.wav,I could tell him tonight!,fear,0.0,1.504874
03a04Fd,03a04Fd,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a04Fd.wav,I could tell him tonight.,happy,0.0,1.696812
03a04Lc,03a04Lc,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a04Lc.wav,I could tell him tonight.,boredom,0.0,1.931
03a04Nc,03a04Nc,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a04Nc.wav,I could tell him tonight.,neutral,0.0,1.561312
03a04Ta,03a04Ta,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a04Ta.wav,I could tell him tonight.,sad,0.0,2.063562
03a04Wc,03a04Wc,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a04Wc.wav,I could tell him tonight!,angry,0.0,2.044125
03a05Aa,03a05Aa,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a05Aa.wav,"The black sheet of paper is up there, next to the piece of wood.",fear,0.0,3.087625
03a05Fc,03a05Fc,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a05Fc.wav,The black sheet of paper is up there next to the piece of wood.,happy,0.0,3.196187
03a05Nd,03a05Nd,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a05Nd.wav,The black sheet of paper is up there next to the piece of wood.,neutral,0.0,3.168
03a05Tc,03a05Tc,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a05Tc.wav,"The black sheet of paper is up there, next to the piece of wood.",sad,0.0,3.497812
03a05Wa,03a05Wa,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a05Wa.wav,The black sheet of paper is up there next to the piece of wood.,angry,0.0,3.44075
03a05Wb,03a05Wb,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a05Wb.wav,The black sheet of paper is up there next to the piece of wood.,angry,0.0,2.96225
03a07Fa,03a07Fa,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a07Fa.wav,It will be ready in 7 hours!,happy,0.0,2.133812
03a07Fb,03a07Fb,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a07Fb.wav,It will be ready in 7 hours!,happy,0.0,2.449875
03a07La,03a07La,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a07La.wav,In seven hours it will be ready.,boredom,0.0,2.401562
03a07Nc,03a07Nc,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a07Nc.wav,It will be ready in 7 hours.,neutral,0.0,1.788125
03a07Wc,03a07Wc,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03a07Wc.wav,It will be done in 7 hours!,angry,0.0,2.087562
03b01Fa,03b01Fa,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03b01Fa.wav,What kind of bags are under the table?,happy,0.0,2.362187
03b01Lb,03b01Lb,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03b01Lb.wav,What are those bags under the table?,boredom,0.0,2.878937
03b01Nb,03b01Nb,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03b01Nb.wav,What kind of bags are under the table?,neutral,0.0,2.389187
03b01Td,03b01Td,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03b01Td.wav,What are those bags under the table?,sad,0.0,3.390687
03b01Wa,03b01Wa,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03b01Wa.wav,What kind of bags are under the table?,angry,0.0,2.179812
03b01Wc,03b01Wc,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03b01Wc.wav,What kind of bags are under the table?,angry,0.0,2.92925
03b02Aa,03b02Aa,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03b02Aa.wav,They just carried it up and now they're going down again!,fear,0.0,3.084812
03b02La,03b02La,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03b02La.wav,They just carried it up and now they're going down again.,boredom,0.0,3.4648120000000002
03b02Na,03b02Na,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03b02Na.wav,You just carried it up and now you go down again.,neutral,0.0,2.945312
03b02Tb,03b02Tb,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03b02Tb.wav,They have just carried it up and now they are going down again.,sad,0.0,5.126874
03b02Wb,03b02Wb,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03b02Wb.wav,They just carried it up and now they're going down again.,angry,0.0,3.184062
03b03Nb,03b03Nb,spk03,3,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\emodb_2.0\wav\03b03Nb.wav,At the weekends I always went home and visited Agnes.,neutral,0.0,3.6445
