uttr_id,dialog_id,speaker,audio_path,transcript,emotion,start_time,end_time,utt_index
dia0_utt0,train_dia0,Chandler,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\MELD.Raw\train_splits\dia0_utt0.mp4,also I was the point person on my companys transition from the KL-5 to GR-6 system.,neutral,976.059,981.731,0
dia0_utt1,train_dia0,The Interviewer,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\MELD.Raw\train_splits\dia0_utt1.mp4,You mustve had your hands full.,neutral,981.94,983.442,1
dia0_utt2,train_dia0,Chandler,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\MELD.Raw\train_splits\dia0_utt2.mp4,That I did. That I did.,neutral,983.442,986.389,2
dia0_utt3,train_dia0,The Interviewer,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\MELD.Raw\train_splits\dia0_utt3.mp4,So lets talk a little bit about your duties.,neutral,986.82,989.572,3
dia0_utt4,train_dia0,Chandler,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\MELD.Raw\train_splits\dia0_utt4.mp4,My duties?  All right.,surprise,994.452,1000.917,4
dia0_utt5,train_dia0,The Interviewer,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\MELD.Raw\train_splits\dia0_utt5.mp4,"Now youll be heading a whole division, so youll have a lot of duties.",neutral,1001.126,1004.337,5
dia0_utt6,train_dia0,Chandler,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\MELD.Raw\train_splits\dia0_utt6.mp4,I see.,neutral,1008.8,1011.886,6
dia0_utt7,train_dia0,The Interviewer,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\MELD.Raw\train_splits\dia0_utt7.mp4,But therell be perhaps 30 people under you so you can dump a certain amount on them.,neutral,1008.8,1014.514,7
dia0_utt8,train_dia0,Chandler,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\MELD.Raw\train_splits\dia0_utt8.mp4,Good to know.,neutral,1019.477,1020.478,8
dia0_utt9,train_dia0,The Interviewer,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\MELD.Raw\train_splits\dia0_utt9.mp4,We can go into detail,neutral,1020.478,1022.719,9
dia0_utt10,train_dia0,Chandler,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\MELD.Raw\train_splits\dia0_utt10.mp4,No dont I beg of you!,fear,1022.856,1024.858,10
dia0_utt11,train_dia0,The Interviewer,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\MELD.Raw\train_splits\dia0_utt11.mp4,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",neutral,1025.025,1033.324,11
dia0_utt12,train_dia0,Chandler,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\MELD.Raw\train_splits\dia0_utt12.mp4,Really?!,surprise,1033.491,1036.536,12
dia0_utt13,train_dia0,The Interviewer,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\MELD.Raw\train_splits\dia0_utt13.mp4,Absolutely.  You can relax,neutral,1037.579,1040.707,13
